"","Dp","Hs","Tp","Ta","Temp","lag","season"
"100405","141","2.52","7.14","6.6","26.5","141","3"
"100406","141","2.27","7.69","6.27","26.5","141","3"
"100407","134","2.21","7.14","6.11","26.5","141","3"
"100408","142","2.32","6.67","6.14","26.5","134","3"
"100409","142","2.29","7.14","6.0","26.5","142","3"
"100410","149","2.36","7.14","6.01","26.5","142","3"
"100411","139","2.24","7.14","6.15","26.5","149","3"
"100412","87","1.99","13.33","5.99","26.6","139","3"
"100413","138","2.17","6.67","6.26","26.6","87","3"
"100414","147","2.26","7.69","6.3","26.7","138","3"
"100415","142","2.13","7.69","6.23","26.7","147","3"
"100416","142","2.07","7.14","6.27","26.8","142","3"
"100417","149","1.94","7.14","6.07","26.8","142","3"
"100418","145","2.01","7.14","6.25","26.8","149","3"
"100419","135","1.92","6.25","6.06","26.8","145","3"
"100420","99","1.82","12.5","6.0","26.8","135","3"
"100421","94","1.85","12.5","6.14","26.9","99","3"
"100422","94","1.92","12.5","6.33","26.9","94","3"
"100423","148","1.89","7.14","6.05","26.9","94","3"
"100424","90","1.86","12.5","6.02","26.9","148","3"
"100425","138","1.97","6.67","5.96","26.8","90","3"
"100426","134","1.83","6.25","5.83","26.8","138","3"
"100427","103","1.98","12.5","6.43","26.8","134","3"
"100428","97","1.85","12.5","6.03","26.8","103","3"
"100429","107","1.88","11.76","6.11","26.8","97","3"
"100430","107","1.76","11.76","5.92","26.7","107","3"
"100431","109","1.77","12.5","6.07","26.6","107","3"
"100432","109","1.75","11.76","6.0","26.6","109","3"
"100433","107","1.77","11.76","6.02","26.6","109","3"
"100434","106","1.78","12.5","6.14","26.6","107","3"
"100435","99","1.78","13.33","6.4","26.6","106","3"
"100436","111","1.68","11.11","6.14","26.5","99","3"
"100437","103","1.65","14.29","6.36","26.5","111","3"
"100438","106","1.85","13.33","6.5","26.5","103","3"
"100439","109","1.85","14.29","6.43","26.5","106","3"
"100440","104","1.83","14.29","6.24","26.5","109","3"
"100441","104","1.83","11.76","5.91","26.5","104","3"
"100442","114","1.96","14.29","5.96","26.5","104","3"
"100443","104","1.88","13.33","5.9","26.6","114","3"
"100444","113","1.88","13.33","6.07","26.6","104","3"
"100445","106","1.99","13.33","6.01","26.6","113","3"
"100446","102","1.94","13.33","6.1","26.5","106","3"
"100447","113","1.95","13.33","6.32","26.5","102","3"
"100448","151","2.02","7.14","6.2","26.5","113","3"
"100449","103","1.92","13.33","6.12","26.5","151","3"
"100450","111","1.92","9.88","6.49","26.5","103","3"
"100451","103","1.85","13.33","6.14","26.5","111","3"
"100452","102","1.86","10.53","6.31","26.5","103","3"
"100453","130","1.91","7.14","6.09","26.5","102","3"
"100454","113","1.84","9.09","6.16","26.5","130","3"
"100455","100","1.98","13.33","6.19","26.5","113","3"
"100456","120","1.8","6.67","6.05","26.5","100","3"
"100457","118","1.84","6.25","6.11","26.5","120","3"
"100458","109","1.93","9.88","6.19","26.6","118","3"
"100459","90","1.82","11.11","5.98","26.6","109","3"
"100460","118","1.86","6.67","5.91","26.6","90","3"
"100461","124","1.9","6.25","5.88","26.5","118","3"
"100462","118","1.84","6.25","5.77","26.5","124","3"
"100463","100","1.81","12.5","5.8","26.5","118","3"
"100464","106","1.88","6.67","5.57","26.5","100","3"
"100465","120","1.88","5.56","5.64","26.5","106","3"
"100466","109","1.85","6.67","5.76","26.5","120","3"
"100467","118","1.74","5.88","5.82","26.5","109","3"
"100468","113","1.74","6.25","5.98","26.5","118","3"
"100469","131","1.66","5.88","5.68","26.5","113","3"
"100470","104","1.7","12.5","5.68","26.5","131","3"
"100471","123","1.71","5.88","5.66","26.5","104","3"
"100472","111","1.76","6.25","5.71","26.5","123","3"
"100473","94","1.71","11.76","5.62","26.5","111","3"
"100474","128","1.67","5.88","5.72","26.5","94","3"
"100475","99","1.81","11.76","5.79","26.5","128","3"
"100476","100","1.68","11.11","5.8","26.5","99","3"
"100477","104","1.67","11.76","5.73","26.5","100","3"
"100478","116","1.62","5.26","5.52","26.5","104","3"
"100479","90","1.65","13.33","5.92","26.5","116","3"
"100480","82","1.68","14.29","5.83","26.5","90","3"
"100481","80","1.71","14.29","5.92","26.5","82","3"
"100482","83","1.77","14.29","5.78","26.5","80","3"
"100483","107","1.73","10.53","5.66","26.5","83","3"
"100484","96","1.78","13.33","6.16","26.5","107","3"
"100485","103","1.9","13.33","6.13","26.5","96","3"
"100486","102","1.72","10.53","5.85","26.5","103","3"
"100487","93","1.75","14.29","5.82","26.5","102","3"
"100488","106","1.66","12.5","5.68","26.5","93","3"
"100489","93","1.74","12.5","6.12","26.5","106","3"
"100490","102","1.77","11.76","6.14","26.5","93","3"
"100491","90","1.66","13.33","5.73","26.5","102","3"
"100492","104","1.76","11.11","5.83","26.5","90","3"
"100493","92","1.78","13.33","5.73","26.5","104","3"
"100494","93","1.79","13.33","6.06","26.5","92","3"
"100495","93","1.71","12.5","5.73","26.5","93","3"
"100496","128","1.59","6.67","5.49","26.5","93","3"
"100497","92","1.67","13.33","5.71","26.5","128","3"
"100498","130","1.67","6.25","5.59","26.4","92","3"
"100499","80","1.63","13.33","5.84","26.4","130","3"
"100500","92","1.71","13.33","5.77","26.5","80","3"
"100501","103","1.53","9.09","5.45","26.5","92","3"
"100502","94","1.54","10.53","5.48","26.5","103","3"
"100503","99","1.6","10.53","5.63","26.5","94","3"
"100504","97","1.56","9.88","5.5","26.5","99","3"
"100505","90","1.56","11.11","5.67","26.5","97","3"
"100506","96","1.58","11.11","5.79","26.6","90","3"
"100507","96","1.55","9.88","5.59","26.7","96","3"
"100508","103","1.54","11.11","5.48","26.6","96","3"
"100509","90","1.5","10.53","5.45","26.6","103","3"
"100510","94","1.5","11.11","5.28","26.8","90","3"
"100511","104","1.51","10.53","5.33","26.7","94","3"
"100512","85","1.51","11.11","5.41","26.8","104","3"
"100513","90","1.48","9.88","5.33","26.8","85","3"
"100514","94","1.39","10.53","5.22","26.9","90","3"
"100515","82","1.41","10.53","5.08","26.9","94","3"
"100516","93","1.41","9.88","5.06","26.9","82","3"
"100517","72","1.39","13.33","5.07","26.9","93","3"
"100518","87","1.4","9.88","5.09","26.9","72","3"
"100519","99","1.34","9.88","4.79","26.9","87","3"
"100520","62","1.32","13.33","4.85","26.9","99","3"
"100521","161","1.31","5.0","4.6","26.9","62","3"
"100522","78","1.34","11.11","4.71","26.9","161","3"
"100523","94","1.29","10.53","4.86","26.9","78","3"
"100524","82","1.36","11.76","4.87","26.8","94","3"
"100525","68","1.28","14.29","4.77","26.7","82","3"
"100526","64","1.3","12.5","4.65","26.7","68","3"
"100527","166","1.27","5.26","4.54","26.7","64","3"
"100528","159","1.38","4.76","4.73","26.6","166","3"
"100529","99","1.3","12.5","4.63","26.6","159","3"
"100530","166","1.42","5.0","4.73","26.6","99","3"
"100531","100","1.37","9.88","4.77","26.6","166","3"
"100532","166","1.4","5.0","4.78","26.6","100","3"
"100533","165","1.37","5.26","4.54","26.6","166","3"
"100534","169","1.44","5.0","4.86","26.6","165","3"
"100535","165","1.45","5.0","4.77","26.6","169","3"
"100536","172","1.37","5.0","4.55","26.6","165","3"
"100537","177","1.41","5.26","4.76","26.6","172","3"
"100538","173","1.44","5.0","4.79","26.6","177","3"
"100539","172","1.4","5.26","4.88","26.6","173","3"
"100540","158","1.43","5.88","5.06","26.6","172","3"
"100541","165","1.42","5.26","5.06","26.6","158","3"
"100542","158","1.36","5.26","4.93","26.6","165","3"
"100543","156","1.35","5.88","5.14","26.5","158","3"
"100544","159","1.37","5.56","5.06","26.6","156","3"
"100545","161","1.37","5.56","4.84","26.5","159","3"
"100546","159","1.34","5.56","4.85","26.5","161","3"
"100547","163","1.33","5.56","4.86","26.5","159","3"
"100548","163","1.28","5.56","4.86","26.5","163","3"
"100549","161","1.38","5.26","4.86","26.5","163","3"
"100550","156","1.32","5.88","4.86","26.5","161","3"
"100551","161","1.32","5.56","4.73","26.5","156","3"
"100552","163","1.29","5.88","4.64","26.5","161","3"
"100553","161","1.34","5.56","4.67","26.5","163","3"
"100554","159","1.36","5.26","4.46","26.4","161","3"
"100555","162","1.32","5.26","4.54","26.5","159","3"
"100556","162","1.37","5.26","4.41","26.5","162","3"
"100557","163","1.33","5.88","4.3","26.5","162","3"
"100558","163","1.35","5.56","4.38","26.4","163","3"
"100559","168","1.38","5.26","4.18","26.2","163","3"
"100560","161","1.31","5.56","4.21","26.3","168","3"
"100561","161","1.34","5.56","4.34","26.4","161","3"
"100562","165","1.38","5.56","4.32","26.4","161","3"
"100563","170","1.31","5.26","4.29","26.4","165","3"
"100564","159","1.3","5.88","4.31","26.5","170","3"
"100565","165","1.17","5.0","4.22","26.5","159","3"
"100566","163","1.22","5.88","4.24","26.5","165","3"
"100567","165","1.19","5.26","4.26","26.5","163","3"
"100568","166","1.1","5.88","4.2","26.5","165","3"
"100569","163","1.09","5.88","4.1","26.5","166","3"
"100570","165","1.12","5.88","4.32","26.5","163","3"
"100571","166","1.06","5.88","4.29","26.5","165","3"
"100572","173","1.07","5.88","4.43","26.5","166","3"
"100573","102","1.09","9.88","4.44","26.1","173","3"
"100574","168","0.98","5.56","4.41","26.2","102","3"
"100575","175","0.94","6.25","4.57","26.2","168","3"
"100576","176","0.92","6.25","4.6","26.1","175","3"
"100577","173","0.94","5.88","4.38","26.2","176","3"
"100578","173","0.97","6.25","4.52","26.1","173","3"
"100579","177","0.87","5.88","4.29","26.1","173","3"
"100580","177","0.93","6.25","4.39","26.0","177","3"
"100581","86","0.86","9.88","4.31","25.9","177","3"
"100582","82","0.86","11.11","4.3","25.9","86","3"
"100583","165","0.83","5.88","4.35","26.0","82","3"
"100584","165","0.91","6.25","4.16","26.0","165","3"
"100585","162","0.92","5.88","4.07","26.0","165","3"
"100586","165","1.0","6.25","4.03","25.9","162","3"
"100587","322","1.03","3.7","3.94","25.9","165","3"
"100588","329","1.11","3.85","3.95","25.9","322","3"
"100589","328","1.17","4.35","3.99","25.9","329","3"
"100590","338","1.21","4.55","4.1","25.9","328","3"
"100591","335","1.2","4.76","4.14","25.9","338","3"
"100592","338","1.27","5.0","4.18","25.9","335","3"
"100593","342","1.29","4.55","4.06","25.8","338","3"
"100594","341","1.33","5.0","4.19","25.8","342","3"
"100595","339","1.3","5.0","4.12","25.7","341","3"
"100596","345","1.36","4.55","4.17","25.7","339","3"
"100597","346","1.29","5.26","4.14","25.8","345","3"
"100598","346","1.31","5.0","4.15","25.6","346","3"
"100599","343","1.21","4.76","4.01","25.5","346","3"
"100600","350","1.25","5.0","4.0","25.5","343","3"
"100601","352","1.19","5.0","4.07","25.5","350","3"
"100602","348","1.16","5.0","4.03","25.6","352","3"
"100603","348","1.15","5.0","3.97","25.8","348","3"
"100604","353","1.17","5.0","4.04","25.9","348","3"
"100605","359","1.23","5.0","4.16","26.0","353","3"
"100606","356","1.18","5.0","4.22","26.0","359","3"
"100607","355","1.16","5.26","4.15","26.2","356","3"
"100608","2","1.22","5.0","4.28","26.2","355","3"
"100609","10","1.31","5.26","4.38","26.2","2","3"
"100610","10","1.29","5.26","4.42","26.2","10","3"
"100611","26","1.3","5.56","4.42","26.2","10","3"
"100612","30","1.27","5.56","4.5","26.4","26","3"
"100613","30","1.27","5.56","4.54","26.3","30","3"
"100614","31","1.17","5.56","4.4","26.3","30","3"
"100615","34","1.14","5.88","4.37","26.3","31","3"
"100616","34","1.25","5.88","4.25","26.2","34","3"
"100617","37","1.3","6.25","4.31","26.2","34","3"
"100618","26","1.33","5.56","4.27","26.2","37","3"
"100619","24","1.31","5.56","4.27","26.2","26","3"
"100620","21","1.32","5.56","4.4","26.2","24","3"
"100621","7","1.21","5.0","4.32","26.2","21","3"
"100622","13","1.14","5.0","4.35","26.1","7","3"
"100623","26","1.15","5.26","4.36","26.1","13","3"
"100624","24","1.15","5.56","4.42","26.1","26","3"
"100625","28","1.09","5.88","4.32","26.1","24","3"
"100626","23","1.19","5.26","4.49","26.1","28","3"
"100627","14","1.1","5.26","4.42","26.0","23","3"
"100628","28","1.1","5.26","4.46","26.0","14","3"
"100629","31","1.11","5.88","4.45","26.0","28","3"
"100630","34","1.15","5.88","4.61","26.0","31","3"
"100631","37","1.22","6.25","4.69","26.0","34","3"
"100632","37","1.31","6.25","4.84","26.0","37","3"
"100633","35","1.25","5.88","4.84","26.0","37","3"
"100634","34","1.2","6.25","4.72","26.0","35","3"
"100635","71","1.19","9.09","4.78","26.0","34","3"
"100636","62","1.15","9.09","4.73","26.0","71","3"
"100637","64","1.17","9.09","4.75","26.0","62","3"
"100638","62","1.33","9.09","5.32","26.1","64","3"
"100639","68","1.29","9.09","5.36","26.1","62","3"
"100640","65","1.4","8.33","5.59","26.1","68","3"
"100641","66","1.51","9.09","5.58","26.1","65","3"
"100642","62","1.62","9.88","5.71","26.1","66","3"
"100643","66","1.69","9.09","5.86","26.1","62","3"
"100644","64","1.57","9.09","5.62","26.1","66","3"
"100645","57","1.72","9.09","5.71","26.1","64","3"
"100646","57","1.58","9.09","5.59","26.2","57","3"
"100647","49","1.66","9.88","5.58","26.2","57","3"
"100648","61","1.61","9.09","5.53","26.1","49","3"
"100649","45","1.55","7.14","5.22","26.2","61","3"
"100650","54","1.65","9.09","5.26","26.1","45","3"
"100651","37","1.73","7.14","5.53","26.1","54","3"
"100652","42","1.66","9.09","5.35","26.2","37","3"
"100653","52","1.67","9.09","5.46","26.2","42","3"
"100654","51","1.71","9.09","5.46","26.2","52","3"
"100655","61","1.77","9.88","5.7","26.2","51","3"
"100656","47","1.74","9.09","5.86","26.2","61","3"
"100657","41","1.69","9.09","5.72","26.2","47","3"
"100658","52","1.68","9.88","5.69","26.2","41","3"
"100659","37","1.7","8.33","5.65","26.2","52","3"
"100660","45","1.69","9.09","5.5","26.2","37","3"
"100661","45","1.68","9.09","5.44","26.2","45","3"
"100662","51","1.67","9.88","5.4","26.1","45","3"
"100663","40","1.8","8.33","5.48","26.1","51","3"
"100664","54","1.74","9.88","5.59","26.1","40","3"
"100665","57","1.73","11.11","5.64","26.0","54","3"
"100666","69","1.71","10.53","5.75","26.0","57","3"
"100667","55","1.78","9.88","5.75","25.9","69","3"
"100668","54","1.78","9.09","5.74","25.9","55","3"
"100669","65","1.91","10.53","6.22","25.8","54","3"
"100670","47","1.96","9.09","6.2","25.8","65","3"
